lambda,lambda_label,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_adjusted_score,min_adjusted_score,max_adjusted_score,note
3,3,0,16,16,0,100.0,17.87,12.68,26.08,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,2,16,16,0,100.0,15.61,10.43,23.8,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,4,16,16,0,100.0,13.34,8.18,21.53,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,6,16,16,0,100.0,11.08,5.92,19.25,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,8,16,16,0,100.0,8.81,3.67,16.97,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,10,16,16,0,100.0,6.55,1.42,14.7,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,12,16,13,3,81.25,4.28,-0.85,12.42,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,15,16,10,6,62.5,0.88,-4.32,9.0,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,20,16,2,14,12.5,-4.79,-10.17,3.31,"As K or lambda increases, 3-arm recommendation ratio should decrease."
3,3,25,16,0,16,0.0,-10.45,-16.02,-2.38,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,0,16,16,0,100.0,13.42,7.74,22.22,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,2,16,16,0,100.0,11.15,5.49,19.94,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,4,16,16,0,100.0,8.89,3.24,17.67,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,6,16,16,0,100.0,6.62,0.98,15.39,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,8,16,14,2,87.5,4.35,-1.27,13.11,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,10,16,11,5,68.75,2.09,-3.52,10.84,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,12,16,8,8,50.0,-0.18,-5.77,8.56,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,15,16,3,13,18.75,-3.58,-9.15,5.14,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,20,16,0,16,0.0,-9.24,-14.78,-0.55,"As K or lambda increases, 3-arm recommendation ratio should decrease."
4,4,25,16,0,16,0.0,-14.91,-20.41,-6.24,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,0,16,16,0,100.0,8.96,2.8,18.36,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,2,16,16,0,100.0,6.7,0.55,16.08,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,4,16,14,2,87.5,4.43,-1.7,13.81,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,6,16,12,4,75.0,2.17,-3.96,11.53,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,8,16,8,8,50.0,-0.1,-6.21,9.25,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,10,16,4,12,25.0,-2.36,-8.46,6.98,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,12,16,1,15,6.25,-4.63,-10.71,4.7,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,15,16,1,15,6.25,-8.03,-14.09,1.28,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,20,16,0,16,0.0,-13.7,-19.72,-4.41,"As K or lambda increases, 3-arm recommendation ratio should decrease."
5,5,25,16,0,16,0.0,-19.36,-25.35,-10.1,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,0,16,14,2,87.5,4.51,-2.47,14.5,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,2,16,12,4,75.0,2.24,-4.66,12.22,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,4,16,8,8,50.0,-0.02,-6.85,9.95,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,6,16,3,13,18.75,-2.29,-9.03,7.67,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,8,16,2,14,12.5,-4.55,-11.22,5.39,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,10,16,1,15,6.25,-6.82,-13.41,3.12,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,12,16,1,15,6.25,-9.09,-15.65,0.84,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,15,16,0,16,0.0,-12.49,-19.03,-2.58,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,20,16,0,16,0.0,-18.15,-24.66,-8.27,"As K or lambda increases, 3-arm recommendation ratio should decrease."
6,6,25,16,0,16,0.0,-23.82,-30.29,-13.96,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,0,16,3,13,18.75,-4.4,-14.33,6.78,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,2,16,2,14,12.5,-6.67,-16.52,4.5,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,4,16,1,15,6.25,-8.93,-18.71,2.23,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,6,16,0,16,0.0,-11.2,-20.89,-0.05,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,8,16,0,16,0.0,-13.47,-23.08,-2.33,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,10,16,0,16,0.0,-15.73,-25.27,-4.6,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,12,16,0,16,0.0,-18.0,-27.46,-6.88,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,15,16,0,16,0.0,-21.4,-30.74,-10.3,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,20,16,0,16,0.0,-27.06,-36.21,-15.99,"As K or lambda increases, 3-arm recommendation ratio should decrease."
8,8,25,16,0,16,0.0,-32.73,-41.68,-21.68,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,0,16,0,16,0.0,-13.31,-26.19,-0.94,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,2,16,0,16,0.0,-15.58,-28.38,-3.22,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,4,16,0,16,0.0,-17.84,-30.57,-5.49,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,6,16,0,16,0.0,-20.11,-32.75,-7.77,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,8,16,0,16,0.0,-22.38,-34.94,-10.05,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,10,16,0,16,0.0,-24.64,-37.13,-12.32,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,12,16,0,16,0.0,-26.91,-39.32,-14.6,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,15,16,0,16,0.0,-30.31,-42.6,-18.02,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,20,16,0,16,0.0,-35.97,-48.07,-23.71,"As K or lambda increases, 3-arm recommendation ratio should decrease."
10,10,25,16,0,16,0.0,-41.64,-53.54,-29.4,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,0,16,0,16,0.0,-35.59,-55.84,-20.24,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,2,16,0,16,0.0,-37.85,-58.03,-22.52,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,4,16,0,16,0.0,-40.12,-60.22,-24.79,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,6,16,0,16,0.0,-42.38,-62.4,-27.07,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,8,16,0,16,0.0,-44.65,-64.59,-29.35,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,10,16,0,16,0.0,-46.91,-66.78,-31.62,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,12,16,0,16,0.0,-49.18,-68.97,-33.9,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,15,16,0,16,0.0,-52.58,-72.25,-37.32,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,20,16,0,16,0.0,-58.25,-77.72,-43.01,"As K or lambda increases, 3-arm recommendation ratio should decrease."
15,15,25,16,0,16,0.0,-63.91,-83.19,-48.7,"As K or lambda increases, 3-arm recommendation ratio should decrease."
